,sentenca,palavras_chave,resultado
2131,gostaria de saber a cerca de normas portarias e leis sobre o desenvolvimento de um produto acessorio para automoveis com a finalidade de transporte de carga indivisivel na parte traseira de veiculos sendo afixado a um engate universal ja existente isso configura um acessorio de carga como funcionam as normas para produzir esse acessorio e se o acessorio tiver um apoio junto ao chao com uma pequena roda e no caso do apoio possuir duas rodas ligadas por um eixo quais normas regem este tipo de acessorio,motor cálculo carga velocidade,processo processo fabricação fabricação
2132,maquinas para fabricacao de produtos hospitalares de tecido de tnt,tecido tnt fabricação nãotecido,processo plantio fabricação fabricação
2133,gostaria de saber quais sao as maquinas de fabricacao de produtos de tnt,tecido tnt fabricação nãotecido,processo processo fabricação fabricação
2134,medidas de formas para calcados femininos no mercado brasileiro,calçado eva fabricação modelagem,processo plantio fabricação fabricação
2135,quais as medidas utilizadas no mercado brasileiro para o desenvolvimento de formas para calcados femininos,calçado eva fabricação modelagem,processo água fabricação pedra
2136,medidas de formas para calcados masculinos no mercado brasileiro,calçado eva fabricação modelagem,processo plantio fabricação fabricação
2137,quais as medidas utilizadas no mercado brasileiro para o desenvolvimento de formas para calcados masculinos,calçado eva fabricação modelagem,processo água fabricação pedra
2138,controle quimico da brocadofruto na graviola,controle pragas doença praga,processo água fabricação pedra
2139,gostaria de saber como devo realizar o controle da brocadofruto e da semente da graviola por controle quimico uma vez que ja se faz o ensacamento dos frutos ainda pequenos,controle pragas doença praga,processo processo fabricação fabricação
2140,verificacao da estabilidade do enfranque em calcados de salto alto,calçado eva fabricação modelagem,reação epóxi epóxi epóxi
2141,como pode ser verificada a estabilidade do enfranque em calcados femininos de salto alto,calçado eva fabricação modelagem,processo água fabricação pedra
2142,medidas de formas para calcados infantis no mercado brasileiro,calçado eva fabricação modelagem,processo plantio fabricação fabricação
2143,quais as medidas utilizadas no mercado brasileiro para o desenvolvimento de formas para calcados infantis,calçado eva fabricação modelagem,processo água fabricação pedra
2144,construcao com materiais reciclados,reciclagem construção materiais civil,processo água fabricação pedra
2145,quais materiais podem ser reutilizados em obras na construcao civil,reciclagem construção materiais civil,processo água fabricação pedra
2146,alinhamento geometrico de maquinasferramenta,fonte corte forma sobre,processo legislação fabricação pedra
2147,o que e e como e feito o alinhamento geometrico de maquinasferramenta,fonte corte forma sobre,processo água fabricação pedra
2148,tijolo de lixo organico,reciclagem construção materiais civil,processo água fabricação pedra
2149,gostaria de saber sobre o processo de fabricacao de tijolo a partir de lixo organico,reciclagem construção materiais civil,processo processo fabricação fabricação
2150,sabiacica triclaria malachitacea,criação reprodução manejo animais,reação epóxi epóxi epóxi
2151,como e feita a reproducao da ave sabiacica em cativeiros,criação reprodução manejo animais,processo água fabricação pedra
2152,qual e a resistencia a tracao tensao de ruptura do material pet em relacao ao material polipropileno,plástico pet polietileno material,processo água fabricação pedra
2153,barreiro de agua para uso na irrigacao de salvacao,solo plantio terra irrigação,processo plantio fabricação pedra
2154,gostaria de saber como e feito um barreiro de agua para uso na irrigacao de salvacao,solo plantio terra irrigação,processo processo fabricação fabricação
2155,oleo de andiroba,óleo extração óleos processo,processo água fabricação pedra
2156,gostaria de indicacao de fabricantes de oleo de andiroba para formulacao de cosmetico,óleo extração óleos processo,processo processo fabricação fabricação
2157,monitorizacao da esterilizacao em autoclaves,câmara esterilização calor fumaça,processo plantio fabricação fabricação
2158,monitorizacao de autoclaves informacoes e fornecedores de kits ou produto que possa ser usado para fazer controle de esterilizacao,câmara esterilização calor fumaça,processo plantio fabricação fabricação
2159,malha pv,algodão confecção têxtil fibra,processo plantio fabricação fabricação
2160,gostaria de saber em relacao ao tecido pv qual a temperatura e o tempo recomendado da prensagem para que o tecido principalmente o branco nao amarele,algodão confecção têxtil fibra,processo processo fabricação fabricação
2161,tinta cromada nao spray,processo peça metal fundição,processo água fabricação pedra
2162,como e o processo de fabricacao e composicao usual de tinta cromada nao spray,processo peça metal fundição,processo água fabricação pedra
2163,cisterna de ferrocimento,água sistema tanque caixa,processo água fabricação pedra
2164,quais as etapas para fabricacao de uma cisterna de ferrocimento,água sistema tanque caixa,processo água fabricação pedra
2165,diferencas entre os tipos de linhaca e suas aplicacoes,farinha pão trigo fermento,processo processo fabricação pedra
2166,gostaria de saber qual a diferenca entre a linhaca marrom e a linhaca dourada e em que tipo de formulacao pode ser utilizada,farinha pão trigo fermento,processo processo fabricação fabricação
2167,controle de podridao da raiz de caquizeiro,controle pragas doença praga,processo água fabricação pedra
2168,como fazer o controle da podridao de raizes em cultivos de caqui,controle pragas doença praga,processo água fabricação pedra
2169,cera depilatoria hidrossoluvel,borracha cera látex vulcanização,processo água fabricação pedra
2170,gostaria de saber qual a formula da cera depilatoria hidrossoluvel,borracha cera látex vulcanização,processo processo fabricação fabricação
2171,porosidade do concreto refratario em churrasqueiras,areia mistura argila peso,processo processo fabricação fabricação
2172,tenho uma empresa de churrasqueiras premoldadas de concreto estou tendo problemas de porosidade excessiva no produto a minha massa e mole e o pessoal vibra a forma bastante para espalhar bem a massa mas mesmo assim a peca ainda sai com buracos utilizo cimento areia e cacos de piso,areia mistura argila peso,processo água fabricação pedra
2173,metodos utilizados para polir e cortar marmoglass,fonte corte forma sobre,processo plantio fabricação fabricação
2174,gostaria de obter informacoes de como trabalhar com marmoglass pois nao tenho obtido sucesso no corte quebra muito nem no polimento nao da brilho ficando fosco e escurecido parece que queimado pela lixa de polimento,fonte corte forma sobre,processo processo fabricação fabricação
2175,reciclagem de espuma de poliuretano,espuma poliuretano gelo refrigeração,processo processo fabricação fabricação
2176,tenho uma microempresa que trabalha com a fabricacao de espumas a base de poliuretano para produtos de refrigeracao e gostaria de saber o que posso fazer com os refugos da producao,espuma poliuretano gelo refrigeração,processo água fabricação pedra
2177,lista de equipamentos usados para producao de suco concentrado de caju,frutas polpa suco fruta,reação epóxi epóxi epóxi
2178,gostaria de uma lista de equipamentos usados para producao de suco concentrado de caju,frutas polpa suco fruta,processo processo fabricação fabricação
2179,maltagem de trigo,açúcar cana fermentação vinho,processo plantio fabricação fabricação
2180,maltagem de trigo para utilizacao como adjunto na fabricacao de cervejas,açúcar cana fermentação vinho,processo plantio fabricação fabricação
2181,processo de sublimacao em tecidos dry fit,tinta impressão processo papel,processo processo fabricação fabricação
2182,tenho uma pequena confeccao de estamparia gostaria de saber mais sobre os tecidos algodao e dryfit esses tecidos me garantem uma qualidade boa pra sublimacao,tinta impressão processo papel,processo água fabricação pedra
2183,umidade em embalagens de cafe,plástico pet polietileno material,processo processo fabricação fabricação
2184,gostaria de saber qual o efeito do teor de umidade na utilizacao de potes de poliester pet na qualidade do cafe soluvel,plástico pet polietileno material,processo processo fabricação fabricação
2185,cargas brancas em compostos de borracha,resistência alta material técnicas,processo água fabricação pedra
2186,o que sao cargas brancas utilizadas em borrachas e termoplasticos,resistência alta material técnicas,processo água fabricação pedra
2187,melhoria do desempenho mecanico do nylon,resistência alta material técnicas,processo plantio fabricação fabricação
2188,como melhorar o desempenho mecanico do nylon,resistência alta material técnicas,processo água fabricação pedra
2189,processo de reciclagem de embalagem cartonada tetra pak,reciclagem construção materiais civil,processo processo fabricação fabricação
2190,tenho uma grafica que personaliza e fabrica embalagens utilizando como materiaprima aluminio e polietileno das embalagens longa vida tetra pak gostaria de obter informacoes de como reciclar os residuos da fabricacao,reciclagem construção materiais civil,processo água fabricação pedra
2191,fabricacao e ligas de cabos multiplexados de aluminio,alumínio ferro cobre cálcio,processo processo fabricação fabricação
2192,processo de fabricacao de cabos de aluminio multiplexados ligas usadas,alumínio ferro cobre cálcio,processo processo fabricação fabricação
2193,placas de mdf,madeira eucalipto fabricação mdf,processo processo fabricação fabricação
2194,qual e o processo de fabricacao industrial de placas de mdf,madeira eucalipto fabricação mdf,processo água fabricação pedra
2195,botijao de gas glp,gás carvão gases combustível,processo plantio fabricação pedra
2196,como ocorre o processo de fabricacao de botija de gas,gás carvão gases combustível,processo água fabricação pedra
2197,gases de defumador,câmara esterilização calor fumaça,processo processo fabricação fabricação
2198,gostaria de informacoes a respeito do funcionamento do defumador eletrico quanto a utilizacao da fumaca liquida ou nao quais os impactos ambientais que este tipo de defumador causa,câmara esterilização calor fumaça,processo processo fabricação fabricação
2199,residuos de processamento de milho,soja milho alimentos proteína,processo processo fabricação fabricação
2200,estamos projetando uma agroindustria de processamento de milho para producao de canjica quirera e fuba nao encontramos informacoes especificas sobre os residuos gerados nesse processo precisamos saber quais sao os residuos quanto de cada residuo e produzido por ciclo produtivo como dimensionar o seu tratamento e quais opcoes tecnicas de tratamento dos mesmos,soja milho alimentos proteína,processo legislação fabricação patente
2201,processo de polimerizacao por adicao e condensacao em polimeros,plástico pet polietileno material,processo processo fabricação fabricação
2202,quais as diferencas relevantes entre os processos de polimerizacao por adicao e por condensacao,plástico pet polietileno material,processo água fabricação pedra
2203,fruticultura organica no rio grande do norte,frutas polpa suco fruta,processo processo fabricação fabricação
2204,estou fazendo orcamento de sementes de frutas goiaba vermelha maracuja limao tahiti laranja pera mamao melancia acerola e melao a unica fonte de consulta que foi orientada foi o renasem relatorio nacional de sementes e mudas mas ao telefonar para lista de fornecedores cadastrados no mapa ministerio da agricultura percebi que a maioria deles cadastramse como produtores de sementes de fruticultura mas nem sempre o sao na pratica gostaria de obter informacao sobre os tipos de sementes organicas de maior qualidade e produtividade nas fruticulturas citadas e que tenham procedencia na sua producao e estado produtor ou fornecedor que produz,frutas polpa suco fruta,processo legislação fabricação patente
2205,vidro utilizado em luminarias embutidas,vidro pintura fibra tinta,reação epóxi epóxi epóxi
2206,qual tipo de vidro pode ser usado para fabricacao de diferentes tipos de luminarias,vidro pintura fibra tinta,processo água fabricação pedra
2207,calibracao de micropipetas,areia mistura argila peso,processo água fabricação pedra
2208,gostaria de saber qual o metodo mais adequado para a calibracao de micropipetas,areia mistura argila peso,processo processo fabricação fabricação
2209,fabricacao de tabua de carne em madeira teca,madeira eucalipto fabricação mdf,processo processo fabricação fabricação
2210,a madeira de teca painel de teca pode ser utilizada para a producao de tabuas de carne,madeira eucalipto fabricação mdf,processo legislação fabricação pedra
2211,analise de determinacao do acido fosforico,ácido ph solução água,processo legislação fabricação pedra
2212,gostaria de metodos de padronizacao do acido fosforico e o procedimento para calcular a concentracao do acido fosforico,ácido ph solução água,processo processo fabricação fabricação
2213,colagem de sacolas de papel,papel análise laboratório método,processo água fabricação pedra
2214,gostaria de saber como devo proceder para montar sacolas de papel quais sao os procedimentos para realizar a colagem dos papeis tempo de secagem e moldes,papel análise laboratório método,processo processo fabricação fabricação
2215,processo de extrusao e sopro multicamadas,pvc processo molde injeção,processo processo fabricação fabricação
2216,como funciona o processo de extrusao e sopro multicamadas,pvc processo molde injeção,processo água fabricação pedra
2217,tuimsanto forpus passerinus,criação reprodução manejo animais,processo água fabricação pedra
2218,como e feito a criacao de tuimsanto em cativeiro,criação reprodução manejo animais,processo água fabricação pedra
2219,aproveitamento dos residuos do abate do gado bovino,animal animais carne ração,processo legislação fabricação pedra
2220,a alguma tecnica ou procedimento para o aproveitamento dos residuossangue e residuos das viscerasdo abatimento do gado bovino principalmente do sangue,animal animais carne ração,processo legislação fabricação pedra
2221,fabricacao de sapatilhas de couro sintetico,calçado eva fabricação modelagem,processo processo fabricação fabricação
2222,fabricacao de sapatilhas,calçado eva fabricação modelagem,processo processo fabricação fabricação
2223,saponificacao do acido graxo do cacau,óleo extração óleos processo,reação epóxi epóxi epóxi
2224,informacao sobre produtos com fabricacao de o acido graxo de cacau,óleo extração óleos processo,processo legislação fabricação pedra
2225,manta acustica,processo industrial propriedade patente,processo plantio fabricação fabricação
2226,estou pesquisando sobre manta acustica utilizada para colocar entre pisos de apartamentos para reduzir o ruido qual a materiaprima utilizada e o processo de fabricacao quais sao os equipamentos utilizados e possiveis fornecedores deste maquinario,processo industrial propriedade patente,processo legislação fabricação patente
2227,acido acetico glacial,ácido ph solução água,processo legislação fabricação pedra
2228,qual deve ser a diluicao do acido acetico para que substitua o uso do vinagre na utilizacao em conservas de alimentos,ácido ph solução água,processo água fabricação pedra
2229,conservacao de batata doce cozida,doce chá açúcar batata,processo água fabricação pedra
2230,gostaria de saber como conservar batata doce cozida,doce chá açúcar batata,processo processo fabricação fabricação
2231,alimentacao de fortalecimento para abelhas,soja milho alimentos proteína,processo legislação fabricação pedra
2232,gostaria de obter informacoes sobre a alimentacao das abelhas receitas para postura e fortalecimento do enxame os possiveis meios de alimentalas e como observar a necessidade da alimentacao,soja milho alimentos proteína,processo processo fabricação fabricação
2233,martelo,fonte corte forma sobre,processo plantio fabricação fabricação
2234,como sao fabricados os martelos,fonte corte forma sobre,processo água fabricação pedra
2235,balanco hidrico na industria do couro,água sistema tanque caixa,processo plantio fabricação pedra
2236,o que significa balanco hidrico e quais os passos para realizalo em uma empresa coureira quais etapas do processamento de couros consomem mais recursos hidricos,água sistema tanque caixa,processo água fabricação pedra
2237,cloreto de potassio na fabricacao de salames,ácido ph solução água,processo água fabricação pedra
2238,tenho uma fabrica que produz embutidos em geral gostaria de saber se posso substituir o cloreto de sodio por cloreto de potassio na fabricacao de salames e qual o efeito da substituicao,ácido ph solução água,processo água fabricação pedra
2239,tecnicas de acabamento e polimento em protese dentaria,processo peça metal fundição,processo água fabricação pedra
2240,gostaria de informacoes de como realizar acabamento e polimento em protese dentaria,processo peça metal fundição,processo processo fabricação fabricação
2241,sistema de aeracao em piscicultura,orgânica orgânico matéria compostagem,reação epóxi epóxi epóxi
2242,atualmente qual e sistema de areacao mais eficaz para psicultura intensiva,orgânica orgânico matéria compostagem,processo legislação fabricação pedra
2243,residuos do processamento de polpa de frutas,frutas polpa suco fruta,processo processo fabricação fabricação
2244,gostaria de saber o que posso fazer com os residuos do processamento de polpa de frutas,frutas polpa suco fruta,processo processo fabricação fabricação
2245,suplementacao de animais ovinocultura,animal animais carne ração,reação epóxi epóxi epóxi
2246,qual a quantidade diaria de suplementacao por cabeca de animal na ovinocultura para ganho de peso que deve ser fornecida em um confinamento intensivo de corte,animal animais carne ração,processo água fabricação pedra
2247,lodo galvanico,processo peça metal fundição,reação epóxi epóxi epóxi
2248,gostaria de saber se posso adicionar lodo galvanico na fabricacao de ceramica vermelha,processo peça metal fundição,processo processo fabricação fabricação
2249,acao de um manometro atraves de um embolo,pressão válvula nr cilindro,processo legislação fabricação pedra
2250,gostaria de saber como acionar um manometro atraves de um embolo,pressão válvula nr cilindro,processo processo fabricação fabricação
2251,raspa de mandioca na alimentacao de animais,animal animais carne ração,processo processo fabricação fabricação
2252,gostaria de saber como se faz raspa de mandioca para a alimentacao de animais e qual a composicao quimica da raspa de mandioca,animal animais carne ração,processo processo fabricação fabricação
2253,luva de raspa de couro para protecao,segurança proteção trabalho costura,reação epóxi epóxi epóxi
2254,informacoes sobre processo de fabricacao de luvas de raspa de couro usadas como equipamento de protecao individual em seguranca do trabalho,segurança proteção trabalho costura,processo legislação fabricação pedra
2255,producao de suco de laranja organica,produção acesso brasil agricultura,processo processo fabricação fabricação
2256,obter informacoes sobre a producao de suco integral de laranja organico,produção acesso brasil agricultura,processo água fabricação pedra
2257,fornecedores de cana de acucar no rio grande do sul,mar rio acesso universidade,processo processo fabricação fabricação
2258,gostaria de obter indicacoes de fornecedores de cana de acucar no rio grande do sul preferencialmente o mais proximo possivel em porto alegre e regiao,mar rio acesso universidade,processo processo fabricação fabricação
2259,carvao ativado em filtros de agua,gás carvão gases combustível,processo água fabricação pedra
2260,gostaria de informacoes sobre o uso de carvao ativado em filtros de agua e indicacao de fornecedores do material a granel para fabricacao do filtro,gás carvão gases combustível,processo processo fabricação fabricação
2261,purificacao de agua por osmose reversa,resina água troca sintética,processo processo fabricação fabricação
2262,gostaria de informacoes detalhadas sobre a purificacao de agua por osmose reversa incluindo os equipamentos utilizados,resina água troca sintética,processo processo fabricação fabricação
2263,reciclagem de filtros automotivos,água sistema tanque caixa,processo processo fabricação fabricação
2264,prezados srs gostaria de conhecer que equipamentos realizam o processamento e a reciclagem de filtros de oleo filtros de ar e filtros de combustivel de veiculos e caminhoes se possivel gostaria de saber os fabricantes e os custos envolvidos no processo de reciclagem desses filtros,água sistema tanque caixa,processo processo fabricação fabricação
2265,producao do vinho jambolao,açúcar cana fermentação vinho,processo processo fabricação fabricação
2266,gostaria de saber informacoes sobre o processo de obtencao de vinho de jambolao,açúcar cana fermentação vinho,processo processo fabricação fabricação
2267,firewall,empresa plano certificação sistema,processo processo fabricação fabricação
2268,quero de ingressar no ramo da seguranca da informacao e gostaria de informacoes sobre a estrutura necessaria para o desenvolvimento e a instalacao de um firewall,empresa plano certificação sistema,processo água fabricação pedra
2269,argamassa para assentamento de blocos de concreto,cimento argamassa cal construção,processo legislação fabricação pedra
2270,argamassa utilizada no assentamento de pisos ceramicos e indicada para utilizacao em assentamento de blocos de concreto estrutural eou vedacao que normas tangem este assunto,cimento argamassa cal construção,processo legislação fabricação pedra
2271,tensao superficial em plasticos,resistência alta material técnicas,processo água fabricação pedra
2272,como medir a tensao superficial em uma peca plastica injetada em poliamida qual o equipamento utilizado qual a utilidade desta medicao para avaliacao de tratamentos de superficie,resistência alta material técnicas,processo água fabricação pedra
2273,biodiesel,vegetal biodiesel produção glicerina,processo plantio fabricação pedra
2274,comparacao entre metanol e etanol para producao de biodiesel,vegetal biodiesel produção glicerina,processo água fabricação pedra
2275,polietileno de ultraalto peso molecular,plástico pet polietileno material,processo processo fabricação fabricação
2276,gostaria de informacoes sobre caracteristicas de processamento do polietileno de ultraalto peso molecular peuapm e sobre o efeito autolubrificante que ele possui esta propriedade autolubrificante pode ser obtida por reacao quimica ou por adicao de algum insumo,plástico pet polietileno material,processo processo fabricação fabricação
2277,equipamentos utilizados em geotecnia,areia mistura argila peso,processo legislação fabricação patente
2278,gostaria de obter informacao sobre analises de calibracao de paquimetros e micrometros na metrologia,areia mistura argila peso,processo processo fabricação fabricação
2279,analise geoquimica,ácido ph solução água,processo legislação fabricação pedra
2280,gostaria de obter informacoes sobre analises geoquimicas,ácido ph solução água,processo processo fabricação fabricação
2281,tipos de papeis transfer para impressao,tinta impressão processo papel,processo água fabricação pedra
2282,para transfer de camisetas e objetos quis sao os papeis mais indicados para a impressao posso imprimir em folha papel oficio,tinta impressão processo papel,processo processo fabricação fabricação
2283,reducao da aderencia dos filmes de polietileno pe,plástico pet polietileno material,processo processo fabricação fabricação
2284,como reduzir a aderencia dos filmes de polietileno pe utilizados na fabricacao de sacolas plasticas,plástico pet polietileno material,processo água fabricação pedra
2285,pigmentos em polipropileno,resistência alta material técnicas,processo processo fabricação fabricação
2286,como e feita a incorporacao de pigmentos no polipropileno cetepo,resistência alta material técnicas,processo água fabricação pedra
2287,leite concentrado,leite queijo fabricação soro,reação epóxi epóxi epóxi
2288,qual a tecnologia empregada para a fabricacao de leite concentrado,leite queijo fabricação soro,processo água fabricação pedra
2289,prazo de validade de epis,segurança proteção trabalho costura,processo processo fabricação fabricação
2290,com relacao a equipamentos de protecao individual solicito sua resposta para as seguintes duvidas tais equipamentos possuem prazo de validade a data de validade do ca pode ser confundida com a data de validade do poroduto se o epi foi fabricado antes da data de validade do ca posso adiquirilo para uso ou esse produto esta impedido de ser comercializado apos a data de validade do ca mesmo que tenha sido fabricado antes dessa data qual o prazo de validade para epis,segurança proteção trabalho costura,processo água fabricação pedra
2291,conformacao em chapa inox,aço inox inoxidável carbono,processo água fabricação pedra
2292,conformacao em chapa inox,aço inox inoxidável carbono,processo água fabricação pedra
2293,empresa de seguranca privada,serviço brasileiro contato técnicas,processo legislação fabricação patente
2294,processo de abertura de empresa de segunraca em evento lugares que realizem curso de seguranca e qual o procedimento documentacao curso e liberacao que quais instituicao para seguranca com porte de armaobrigada,serviço brasileiro contato técnicas,processo processo fabricação fabricação
2295,soldagem de componentes eletronicos,soldagem solda arame eletrodo,reação epóxi epóxi epóxi
2296,como posso soldar uma placa e componentes de um computador,soldagem solda arame eletrodo,processo água fabricação pedra
2297,composto de epdm com elevado alongamento,borracha cera látex vulcanização,processo água fabricação pedra
2298,como posso atingir um alongamento de em um composto de epdm,borracha cera látex vulcanização,processo água fabricação pedra
2299,transporte de flores e frutas,embalagem transporte armazenamento papelão,processo água fabricação pedra
2300,gostaria de informacoes sobre transporte de flores e frutas,embalagem transporte armazenamento papelão,processo processo fabricação fabricação
2301,propriedades fisicas mecanicas quimicas e dinamicas dos elastomeros,resistência alta material técnicas,processo processo fabricação fabricação
2302,quais testes em elastomeros sao considerados mecanicos fisicos dinamicos e quimicos quais as caracteristicas de cada um,resistência alta material técnicas,processo água fabricação pedra
2303,transporte de produtos perigosos no mercosul,embalagem transporte armazenamento papelão,processo água fabricação pedra
2304,quais sao as diretrizes para o transporte de produtos perigosos no mercosul,embalagem transporte armazenamento papelão,processo água fabricação pedra
2305,materiais utilizados para fabricacao de piscinas de fibra de vidro,vidro pintura fibra tinta,processo plantio fabricação fabricação
2306,que tipos de materiais sao utilizados para fabricacao de piscinas que tem como base a fibra de vidro,vidro pintura fibra tinta,processo água fabricação pedra
2307,borracha para pneus a partir de polimerizacao por emulsao,borracha cera látex vulcanização,processo plantio fabricação pedra
2308,o processo de polimerizacao em emulsao utilizado na fabricacao de borracha para pneus garante quais propriedades ao produto final,borracha cera látex vulcanização,processo água fabricação pedra
2309,como pode ser avaliado o nivel de condutividade de um polimero a ser utilizado na rede eletrica para isolamento eletrico,energia elétrica corrente elétrico,processo água fabricação pedra
2310,farelo de trigo,soja milho alimentos proteína,processo processo fabricação fabricação
2311,quais sao todas as aplicacoes possiveis para o farelo de trigo alem das mais conhecidas e tradicionais ele pode ser um biocombustivel pode ser usado na industria de moveis,soja milho alimentos proteína,processo água fabricação pedra
2312,balanceamento de maquinas rotativas com ou planos de correcao,motor cálculo carga velocidade,processo plantio fabricação pedra
2313,qual o procedimento para balancear maquinas rotativas,motor cálculo carga velocidade,processo água fabricação pedra
2314,detectores sensores de gas,gás carvão gases combustível,processo processo fabricação pedra
2315,como pode ser realizada a deteccao de gases,gás carvão gases combustível,processo água fabricação pedra
2316,tipos de impressora para o miolo de cadernos e agenda,tinta impressão processo papel,processo água fabricação pedra
2317,quais os tipos de impressora para o miolo de cadernos e agendas,tinta impressão processo papel,processo água fabricação pedra
2318,producao de hipoclorito de sodio,sódio água cloro desinfecção,processo processo fabricação fabricação
2319,gostaria de obter informacoes sobre a obtencao de hipoclorito de sodio com eficiencia superior a,sódio água cloro desinfecção,processo processo fabricação fabricação
2320,producao de biodiesel por rota acida,vegetal biodiesel produção glicerina,processo processo fabricação fabricação
2321,gostaria de saber o processo de transformacao de acido graxo em biodiesel utilizando rota acida incluindo temperatura a possibilidade de utilizar etanol em substituicao ao metanol e se existe alguma alternativa em relacao ao acido sulfurico,vegetal biodiesel produção glicerina,processo processo fabricação fabricação
2322,analise termogravimetrica tga,papel análise laboratório método,processo legislação fabricação pedra
2323,gostaria de utilizar tga para analise de qual a massa tipo de atmosfera e temperatura para realizar a analise,papel análise laboratório método,processo processo fabricação fabricação
2324,expansao em bloco de polietileno reticulado,plástico pet polietileno material,processo legislação fabricação patente
2325,gostaria de obter informacoes de fornecedores de polietileno reticulado para formulacao de expansao em bloco,plástico pet polietileno material,processo processo fabricação fabricação
2326,poliol a partir de garrafas pet,plástico pet polietileno material,processo processo fabricação fabricação
2327,gostaria de saber como produzir o poliol a partir de garrafas pet para fabricacao de espumas,plástico pet polietileno material,processo processo fabricação fabricação
2328,manta isolante fabricada a partir de embalagens longa vida tetra brik,reciclagem construção materiais civil,processo plantio fabricação fabricação
2329,gostaria de um manual sobre como fazer manta de isolamento termico com embalagem de tetra pak,reciclagem construção materiais civil,processo processo fabricação fabricação
2330,substrato para germinacao de sementes de noni,solo plantio terra irrigação,reação epóxi epóxi epóxi
2331,como fazer um bom substrato para germinacao de sementes mais especificamente sementes de noni morinda citrifolia,solo plantio terra irrigação,processo água fabricação pedra
2332,alimentacao animal a base de larvas,criação reprodução manejo animais,processo legislação fabricação pedra
2333,olagostaria de obter informacao de como fazer o expurgo de larvas de mosca para usalas como alimento fresco ou desidratado para alimentacao de animais seria possivel usar o mesmo metodo usado pra expurgar o conteudo do interior de minhocas conforme ensinam as repostas tecnicas e se se pode usar a mesma tecnica qual seria a idade ideal maxima das larvas a se colocar na em jejum para se evitar o empupamento uma vez que o ciclo de vida e curto e se nao me engano em a dias elas empupamquais cuidados seriam necessarios para que as larvas nao fossem contaminadas e nao viessem a transmitir doencas aos animas que as consumirem,criação reprodução manejo animais,processo água fabricação pedra
2334,laboratorios de analise fisicoquimica da cachaca,açúcar cana fermentação vinho,reação epóxi epóxi epóxi
2335,preciso fazer analise da cachaca que produzo e gostaria de indicacao de laboratorios que realizem as analises para o cumprimento das exigencias do ministerio da agricultura,açúcar cana fermentação vinho,processo processo fabricação fabricação
2336,sistemas eolicos para geracao de energia eletrica,energia elétrica corrente elétrico,reação epóxi epóxi epóxi
2337,necessito de fornecedores de sistemas eolicos de geracao de energia,energia elétrica corrente elétrico,processo plantio fabricação pedra
2338,oleo de girassol para produtos cosmeticos,óleo extração óleos processo,processo água fabricação pedra
2339,busco fornecedores de oleo de girassol para utilizacao na formulacao de cosmeticos,óleo extração óleos processo,processo plantio fabricação pedra
2340,extrato seco de propolis,extrato própolis lençol raiz,processo legislação fabricação patente
2341,como fazer extrato seco de propolis para comercializacao e a legislacao vigente,extrato própolis lençol raiz,processo água fabricação pedra
2342,estabilidade do latex in natura e centrifugado,borracha cera látex vulcanização,processo legislação fabricação patente
2343,como aumentar a estabilidade do latex in natura e centrifugado existe algum produto quimico para fazer esse parametro aumentar,borracha cera látex vulcanização,processo água fabricação pedra
2344,cloreto ferrico usado em tratamento de agua,ácido ph solução água,processo água fabricação pedra
2345,gostaria de fornecedores de cloreto ferrico prioritariamente fabricantes internacionais,ácido ph solução água,processo processo fabricação fabricação
2346,hipoclorito de sodio usado em tratamento de agua,sódio água cloro desinfecção,alimentos produto fabricação combustível
2347,gostaria de fornecedores de hipoclorito de sodio entre fabricantes e fornecedores nacionais e internacionais,sódio água cloro desinfecção,processo processo fabricação fabricação
2348,fornecedores de produtos quimicos para controle de salmonela em racao animal,animal animais carne ração,processo processo fabricação fabricação
2349,para combater a salmonella em suprimetos agropecuarios racoes para suinos bovinos e galinaceos qual o produto mais eficaz e qual a concentracao permitida na legislacao gostaria de fornecedores desse produto,animal animais carne ração,processo processo fabricação fabricação
2350,ebonite expandida,borracha cera látex vulcanização,processo legislação fabricação patente
2351,solicito informacoes de formulacao de ebonite expandida de borracha nitrilica para confeccao de flutuadores de combustivel bem como fornecedores de materia prima,borracha cera látex vulcanização,reação epóxi epóxi epóxi
2352,legislacao para instalacao de geracao de energia eolica em area rural,energia elétrica corrente elétrico,reação epóxi epóxi epóxi
2353,gostaria de saber se existe legislacao para instalacao de geracao de energia eolica,energia elétrica corrente elétrico,processo processo fabricação fabricação
2354,fornecedor de polidextrose,soja milho alimentos proteína,processo processo fabricação fabricação
2355,gostaria de obter o contato com fornecedores de polidextrose utilizado para producao de bolos e paes light,soja milho alimentos proteína,processo processo fabricação fabricação
2356,equipamentos de protecao individual para a producao de cachaca,segurança proteção trabalho costura,processo legislação fabricação patente
2357,existem exigencias de carater legal com relacao ao uso de epi na producao de cachaca,segurança proteção trabalho costura,processo legislação fabricação patente
2358,nitrato de prata,processo peça metal fundição,processo plantio fabricação pedra
2359,producao de nitrato de prata atraves da prata metalica descricao dos processos envolvidos na producao e a sua legislacao,processo peça metal fundição,processo processo fabricação fabricação
2360,fabricacao de molde de madeira para fazer shapes de skate,madeira eucalipto fabricação mdf,processo processo fabricação fabricação
2361,gostaria de uma metodologia para fabricar um shape de skate atraves de um molde de madeira feito em casa,madeira eucalipto fabricação mdf,processo processo fabricação fabricação
